customer_city,customer_state,orders,total_revenue,pct_of_total_revenue,cumulative_pct_revenue,revenue_rank
vera cruz,RN,1,39.99,0.0,99.95,4028
riachuelo,SE,1,39.97,0.0,99.95,4036
alegria,RS,1,39.9,0.0,99.96,4037
cupira,PE,1,39.9,0.0,99.96,4037
desterro de entre rios,MG,1,39.9,0.0,99.96,4037
girau do ponciano,AL,1,39.9,0.0,99.96,4037
itaju do colonia,BA,1,39.9,0.0,99.96,4037
itatiba do sul,RS,1,39.9,0.0,99.96,4037
mutum parana,RO,1,39.9,0.0,99.96,4037
natercia,MG,1,39.9,0.0,99.96,4037
varzedo,BA,1,39.9,0.0,99.96,4037
mae d'agua,PB,1,39.89,0.0,99.96,4046
campo magro,PR,1,39.8,0.0,99.96,4047
formoso,GO,1,39.0,0.0,99.96,4048
coimbra,MG,1,38.9,0.0,99.96,4049
acucena,MG,1,38.0,0.0,99.96,4050
santa maria do salto,MG,1,38.0,0.0,99.96,4050
belmonte,BA,1,37.99,0.0,99.96,4052
passagem franca,MA,1,37.98,0.0,99.96,4053
joaima,MG,1,37.9,0.0,99.96,4054
unistalda,RS,1,37.9,0.0,99.96,4054
pindoretama,CE,1,37.55,0.0,99.96,4056
alvorada do gurgueia,PI,1,37.0,0.0,99.96,4057
jussiape,BA,1,37.0,0.0,99.96,4057
nossa senhora do o,PE,1,37.0,0.0,99.96,4057
inocencia,MS,1,36.9,0.0,99.96,4060
sanga puita,MS,1,36.9,0.0,99.96,4060
santana do sobrado,BA,1,36.9,0.0,99.96,4060
pedra branca,CE,2,36.89,0.0,99.96,4063
lagoa do mato,CE,1,35.99,0.0,99.96,4064
boa esperanca do iguacu,PR,1,35.9,0.0,99.96,4065
divino das laranjeiras,MG,1,35.9,0.0,99.96,4065
virginia,MG,1,35.9,0.0,99.96,4065
florania,RN,1,35.5,0.0,99.96,4068
capistrano,CE,1,35.0,0.0,99.96,4069
miravania,MG,1,35.0,0.0,99.96,4069
sao bentinho,PB,1,35.0,0.0,99.96,4069
paraiso das aguas,MS,1,34.99,0.0,99.97,4072
peri mirim,MA,1,34.99,0.0,99.97,4072
antonio goncalves,BA,1,34.9,0.0,99.97,4074
gabriel monteiro,SP,1,34.9,0.0,99.97,4074
sao jorge do oeste,PR,1,34.9,0.0,99.97,4074
teixeira,PB,1,34.9,0.0,99.97,4074
martinesia,MG,1,34.89,0.0,99.97,4078
parisi,SP,1,34.49,0.0,99.97,4079
arvoredo,SC,1,34.3,0.0,99.97,4080
jaguarembe,RJ,1,33.99,0.0,99.97,4081
vermelho novo,MG,1,33.87,0.0,99.97,4082
vitoria das missoes,RS,1,33.8,0.0,99.97,4083
damianopolis,GO,2,33.64,0.0,99.97,4084
guabiju,RS,1,33.6,0.0,99.97,4085
colinas,RS,1,32.99,0.0,99.97,4086
itaicaba,CE,1,32.99,0.0,99.97,4086
prudencio thomaz,MS,1,32.99,0.0,99.97,4086
morro agudo de goias,GO,1,32.9,0.0,99.97,4089
santo antonio do taua,PA,1,32.9,0.0,99.97,4089
bemposta,RJ,1,32.0,0.0,99.97,4091
jamapara,RJ,1,32.0,0.0,99.97,4091
picada cafe,RS,1,32.0,0.0,99.97,4091
alexandra,PR,1,31.9,0.0,99.97,4094
barao,RS,1,31.9,0.0,99.97,4094
cabaceiras do paraguacu,BA,1,31.9,0.0,99.97,4094
morro vermelho,MG,1,31.9,0.0,99.97,4094
ourem,PA,1,31.9,0.0,99.97,4094
sao francisco do brejao,MA,1,31.9,0.0,99.97,4094
santa cruz do timbo,SC,1,30.99,0.0,99.97,4100
lagoa salgada,RN,1,30.24,0.0,99.97,4101
dona emma,SC,1,30.21,0.0,99.97,4102
angical do piaui,PI,1,29.99,0.0,99.98,4103
arame,MA,1,29.99,0.0,99.98,4103
buriti alegre,GO,1,29.99,0.0,99.98,4103
centralina,MG,1,29.99,0.0,99.98,4103
coreau,CE,1,29.99,0.0,99.98,4103
gongogi,BA,1,29.99,0.0,99.98,4103
guia lopes da laguna,MS,1,29.99,0.0,99.98,4103
igrapiuna,BA,1,29.99,0.0,99.98,4103
porto grande,AP,1,29.99,0.0,99.98,4103
santa rita de jacutinga,MG,1,29.99,0.0,99.98,4103
senhora dos remedios,MG,1,29.99,0.0,99.98,4103
vila bela da santissima trindade,MT,1,29.99,0.0,99.98,4103
segredo,RS,1,29.939999999999998,0.0,99.98,4115
antonio carlos,MG,1,29.9,0.0,99.98,4116
marques de souza,RS,1,29.9,0.0,99.98,4116
nova olinda,TO,1,29.9,0.0,99.98,4116
pescador,MG,1,29.9,0.0,99.98,4116
ribeirao cascalheira,MT,1,29.9,0.0,99.98,4116
sao bras,AL,1,29.9,0.0,99.98,4116
sulina,PR,1,29.9,0.0,99.98,4116
jurema,PE,1,29.5,0.0,99.98,4123
monte bonito,RS,1,29.5,0.0,99.98,4123
jussara,PR,1,29.49,0.0,99.98,4125
pirai do norte,BA,1,29.49,0.0,99.98,4125
boraceia,SP,1,29.0,0.0,99.98,4127
caxingo,PI,1,29.0,0.0,99.98,4127
combinado,TO,1,29.0,0.0,99.98,4127
fernao,SP,1,29.0,0.0,99.98,4127
rosario do ivai,PR,1,29.0,0.0,99.98,4127
ibicuitinga,CE,1,28.99,0.0,99.98,4132
indianopolis,MG,1,28.99,0.0,99.98,4132
paraiso do sul,RS,1,28.99,0.0,99.98,4132
vitoria,PR,1,28.99,0.0,99.98,4132
corrego do ouro,RJ,1,28.9,0.0,99.98,4136
silveira carvalho,MG,1,28.9,0.0,99.98,4136
acajutiba,BA,1,28.89,0.0,99.98,4138
barao de juparana,RJ,1,28.49,0.0,99.98,4139
rosario,MA,1,28.12,0.0,99.98,4140
turmalina,SP,1,28.0,0.0,99.98,4141
boa vista do sul,RS,1,27.99,0.0,99.98,4142
igarape-miri,PA,1,27.99,0.0,99.98,4142
laranjal,PR,1,27.99,0.0,99.98,4142
novo planalto,GO,1,27.99,0.0,99.98,4142
sao joao de petropolis,ES,1,27.99,0.0,99.98,4142
sao tome,RN,1,27.99,0.0,99.98,4142
icaraima,PR,1,27.9,0.0,99.98,4148
sao felix,BA,1,27.9,0.0,99.98,4148
corumbatai do sul,PR,1,27.49,0.0,99.98,4150
ibiracu,ES,1,27.3,0.0,99.98,4151
turvelandia,GO,1,27.3,0.0,99.98,4151
ulianopolis,PA,1,27.3,0.0,99.98,4151
sao joao do sabugi,RN,1,26.9,0.0,99.98,4154
bom jardim,MA,1,25.9,0.0,99.98,4155
eldorado,MS,1,25.9,0.0,99.98,4155
coqueiros do sul,RS,1,25.73,0.0,99.98,4157
corrego danta,MG,1,25.4,0.0,99.98,4158
angelo frechiani,ES,1,25.32,0.0,99.98,4159
guinda,MG,1,25.0,0.0,99.99,4160
nova guarita,MT,1,25.0,0.0,99.99,4160
santana do capivari,MG,1,25.0,0.0,99.99,4160
flores de goias,GO,1,24.99,0.0,99.99,4163
leoberto leal,SC,1,24.99,0.0,99.99,4163
sebastiao leal,PI,1,24.99,0.0,99.99,4163
sitio novo,MA,1,24.99,0.0,99.99,4163
tome-acu,PA,1,24.99,0.0,99.99,4163
uniao do oeste,SC,1,24.99,0.0,99.99,4163
delfim moreira,MG,1,24.9,0.0,99.99,4169
desterro do melo,MG,1,24.9,0.0,99.99,4169
rio grande do piaui,PI,1,24.9,0.0,99.99,4169
sobralia,MG,1,24.9,0.0,99.99,4169
satiro dias,BA,1,24.5,0.0,99.99,4173
mutunopolis,GO,1,24.41,0.0,99.99,4174
malhador,SE,1,23.99,0.0,99.99,4175
vertentes,PE,1,23.99,0.0,99.99,4175
jardim de piranhas,RN,1,23.9,0.0,99.99,4177
nova independencia,SP,1,23.9,0.0,99.99,4177
novo jardim,TO,1,23.9,0.0,99.99,4177
santa luzia do norte,AL,1,23.8,0.0,99.99,4180
sao sebastiao de campos,RJ,1,23.8,0.0,99.99,4180
ipecaeta,BA,1,23.4,0.0,99.99,4182
pedra menina,MG,1,23.4,0.0,99.99,4182
monte santo,BA,1,23.21,0.0,99.99,4184
jandaia,GO,1,23.2,0.0,99.99,4185
cambiasca,RJ,1,22.99,0.0,99.99,4186
nova luzitania,SP,1,22.9,0.0,99.99,4187
serio,RS,1,22.9,0.0,99.99,4187
pareci novo,RS,1,22.0,0.0,99.99,4189
vista alegre,RS,1,22.0,0.0,99.99,4189
vale do sol,RS,1,21.99,0.0,99.99,4191
vicosa,AL,1,21.9,0.0,99.99,4192
francisco santos,PI,1,20.9,0.0,99.99,4193
sertao santana,RS,1,20.9,0.0,99.99,4193
pium,TO,1,20.0,0.0,99.99,4195
sao miguel do aleixo,SE,1,20.0,0.0,99.99,4195
barracao,PR,1,19.99,0.0,99.99,4197
caturama,BA,1,19.99,0.0,99.99,4197
cuite velho,MG,1,19.99,0.0,99.99,4197
jardim abc de goias,GO,1,19.99,0.0,99.99,4197
monte alegre,RN,1,19.99,0.0,99.99,4197
aparecida d'oeste,SP,1,19.9,0.0,99.99,4202
faxinalzinho,RS,1,19.9,0.0,99.99,4202
joao dourado,BA,1,19.9,0.0,99.99,4202
minduri,MG,1,19.9,0.0,99.99,4202
nova redencao,BA,1,19.9,0.0,99.99,4202
pinhal da serra,RS,1,19.9,0.0,99.99,4202
presidente castello branco,SC,1,19.9,0.0,99.99,4202
santo amaro das brotas,SE,1,19.9,0.0,99.99,4202
sao rafael,RN,1,19.9,0.0,99.99,4202
tupassi,PR,1,19.9,0.0,99.99,4202
santa maria,RN,1,19.83,0.0,99.99,4212
caxambu do sul,SC,1,19.5,0.0,99.99,4213
balsa nova,PR,1,19.45,0.0,99.99,4214
pires ferreira,CE,1,18.95,0.0,99.99,4215
vicosa do ceara,CE,1,18.95,0.0,99.99,4215
leopolis,PR,1,18.9,0.0,99.99,4217
uniao da serra,RS,1,18.5,0.0,99.99,4218
montividiu do norte,GO,1,17.99,0.0,99.99,4219
uruana de minas,MG,1,17.9,0.0,99.99,4220
macieira,SC,1,17.46,0.0,99.99,4221
agudo,RS,1,17.0,0.0,100.0,4222
crucilandia,MG,1,17.0,0.0,100.0,4222
presidente lucena,RS,1,16.99,0.0,100.0,4224
trombas,GO,1,16.97,0.0,100.0,4225
santa maria,DF,1,16.9,0.0,100.0,4226
simplicio mendes,PI,1,16.6,0.0,100.0,4227
travesseiro,RS,1,16.6,0.0,100.0,4227
porteiras,CE,1,16.55,0.0,100.0,4229
sao bento abade,MG,1,16.0,0.0,100.0,4230
amapa do maranhao,MA,1,15.9,0.0,100.0,4231
demerval lobao,PI,1,15.0,0.0,100.0,4232
missao velha,CE,1,14.99,0.0,100.0,4233
boa ventura,RJ,1,14.9,0.0,100.0,4234
cabeceiras,GO,1,14.9,0.0,100.0,4234
estrela velha,RS,1,14.9,0.0,100.0,4234
ibitiuva,SP,1,14.9,0.0,100.0,4234
mauriti,CE,1,14.9,0.0,100.0,4234
ouro verde do oeste,PR,1,14.9,0.0,100.0,4234
duas barras,RJ,1,14.89,0.0,100.0,4240
estevao de araujo,MG,1,14.2,0.0,100.0,4241
reserva do iguacu,PR,1,14.0,0.0,100.0,4242
vitoria do mearim,MA,1,14.0,0.0,100.0,4242
brejolandia,BA,1,13.98,0.0,100.0,4244
jacuipe,BA,1,13.98,0.0,100.0,4244
nova santa rita,PI,1,13.98,0.0,100.0,4244
tracuateua,PA,1,13.98,0.0,100.0,4244
altinho,PE,1,13.9,0.0,100.0,4248
ponto do marambaia,MG,1,13.7,0.0,100.0,4249
canapolis,BA,1,13.65,0.0,100.0,4250
marcos parente,PI,1,13.65,0.0,100.0,4250
tuparece,MG,1,13.5,0.0,100.0,4252
cezarina,GO,1,13.49,0.0,100.0,4253
liberato salzano,RS,1,12.99,0.0,100.0,4254
vicente dutra,RS,1,12.99,0.0,100.0,4254
joaquim pires,PI,1,12.97,0.0,100.0,4256
aguia branca,ES,1,12.9,0.0,100.0,4257
mandirituba,PR,1,12.67,0.0,100.0,4258
varzea grande,PI,1,12.5,0.0,100.0,4259
nova resende,MG,1,10.99,0.0,100.0,4260
estiva,MG,1,10.9,0.0,100.0,4261
planaltina do parana,PR,1,10.75,0.0,100.0,4262
bom jardim de goias,GO,1,10.0,0.0,100.0,4263
medicilandia,PA,1,8.99,0.0,100.0,4264
tamboara,PR,1,8.99,0.0,100.0,4264
erico cardoso,BA,1,8.09,0.0,100.0,4266
santa maria,RJ,1,8.0,0.0,100.0,4267
jenipapo de minas,MG,1,7.48,0.0,100.0,4268
santo antonio do rio abaixo,MG,1,6.0,0.0,100.0,4269
senador jose porfirio,PA,1,6.0,0.0,100.0,4269
sabaudia,PR,1,5.9,0.0,100.0,4271
polo petroquimico de triunfo,RS,1,5.6,0.0,100.0,4272
